title,Abstract,year
"Multiobjective Optimization Under Uncertainty in Advanced Abrasive Machining Processes via a Fuzzy-Evolutionary Approach","This paper considers multiobjective optimization under uncertainty (MOOUC) for the selection of optimal cutting conditions in advanced abrasive machining processes. Processes considered are water-jet machining, abrasive water-jet machining and ultra-sonic machining. Decisions regarding the cutting conditions can involve optimization for multiple competing goals; such as surface finish, machining time and power consumption. In practice, there is also an issue of variations in the ability to attain the performance goals. This can be due to limitations in machine accuracy or variations in material properties of the workpiece and/or abrasive particles. The approach adopted in this work relies on a Strength Pareto Evolutionary Algorithm (SPEA2) framework, with specially tailored dominance operators to account for probabilistic aspects in the considered multiobjective problem. Deterministic benchmark problems in the literature for the considered machining processes are extended to include performance uncertainty, and then used in testing the performance of the proposed approach. Results of the study show that accounting for process variations through a simple penalty term may be detrimental for the multiobjective optimization. On the other hand, a proposed Fuzzy-tournament dominance operator appears to produce favorable results.",2015
"Multi-Objective Optimization of Gas Blend Alternative Refrigerants for Vapor-Compression Refrigeration Systems","This paper presents a theoretical study on optimizing the mixing ratios of hydrocarbon blends to be used as refrigerants in existing refrigeration equipment. The primary objective is to maximize the coefficient of performance. The gas blending optimization problem is posed in a multi-objective framework, where the optimization seeks to generate Pareto optimal solutions that span the trade-off frontier between coefficient of performance versus deviation from a desired volumetric refrigeration capacity, while adhering to a maximum compression ratio. Design variables in the optimization are the mass fractions of hydrocarbon gases in the blend. A domain reduction scheme is introduced, which allows for efficient conduction of exhaustive search, with up to three hydrocarbon gases in the blend. While exhaustive search guarantees that the obtained solutions are global optima, the computational resources it requires scale poorly as the number of design variables increase. Two alternative approaches, (multi-start SQP) and (NSGA-II) are also tested for solving the optimization problem. Numerical simulation case studies for replacement of R12, R22 and R134a with hydrocarbon blends of isobutane, propane and propylene show agreement between solution methods that good compromises are possible to achieve, but a small loss in coefficient of performance is inevitable.",2015
"Optimization of Cutting Conditions in Vibration Assisted Drilling of Composites via a Multi-Objective EGO Implementation","A recent and promising technique to overcome the challenges of conventional drilling is vibration-assisted drilling (VAD) whereby a controlled harmonic motion is superimposed over the principal drilling feed motion in order to create an intermittent cutting state. Two additional variables other than the feed and the speed are introduced, namely the frequency and the amplitude of the imposed vibrations. Optimum selection of cutting conditions in VAD operations of composite materials is a challenging task due to several reasons; such as the increase in the number of controllable variables, the need for costly experimentation, and the limitation on the number of experiments that can be performed before tool degradation becomes an issue in the reliability of measurements. Additionally, there are often several objectives to consider, some of which may be conflicting, while others may be somewhat correlated. Pareto-optimality analysis is needed for conflicting objectives; however the existence of several objectives (high-dimension Pareto space) makes the generation and interpretation of Pareto solutions difficult. An attractive approach to the optimization task is thus to employ Kriging meta-models in a multi-objective efficient global optimization (m-EGO) framework for incremental experimentation of optimal setting of the cutting parameters. Additional challenge posed by constraints on machine capabilities is accounted for through domain transformation of the design variables prior to the construction of the Kriging models. Study results using a baseline exhaustive experimental data shows opportunity for employing m-EGO for the generation of well distributed Pareto-frontiers with fewer experiments.",2015
"Towards Automated Design of Mechanically Functional Molecules","Metal Organic Responsive Frameworks (MORFs) are a proposed new class of smart materials consisting of a Metal Organic Framework (MOF) with photoisomerizing beams (also known as linkers) that fold in response to light. Within a device these new light responsive materials could provide the capabilities such as photo-actuation, photo-tunable rigidity, and photo-tunable porosity. However, conventional MOF architectures are too rigid to allow isomerization of photoactive sub-molecules. We propose a new computational approach for designing MOF linkers to have the required mechanical properties to allow the photoisomer to fold by borrowing concepts from de novo molecular design and graph synthesis. Here we show how this approach can be used to design compliant linkers with the necessary flexibility to be actuated by photoisomerization and used to design MORFs with desired functionality.",2015
"A Prediction Modeling Framework: Toward Integration of Noisy Manufacturing Data and Product Design","In many design and manufacturing applications, data inconsistency or noise is common. These data can be used to create opportunities and/or support critical decisions in many applications, for example, welding quality prediction for material selection and quality monitoring applications. Typical approaches to deal with these data issues are to remove or alter them before constructing any model or conducting any analysis to draw decisions. However, these approaches are limited especially when each data carries important value to extract additional information about the nature of the given problem. In the literature, with the presence of noise in data, bootstrap aggregating has shown an improvement in the prediction accuracy. In order to achieve such an improvement, a bagging model has to be carefully constructed. The base learning algorithm, number of base learning algorithms, and parameters for the base learning algorithms are crucial design parameters in that aspect. Evolutionary algorithms such as genetic algorithm and particle swarm optimization have shown promising results in determining good parameters for different learning algorithms such as multilayer perceptron neural network and support vector regression. However, the computational cost of an evolutionary computation algorithm is usually high as they require a large number of candidate solution evaluations. This requirement even more increases when bagging is involved rather than a single learning algorithm. To reduce such high computational cost, a metamodeling approach is introduced to particle swarm optimization. The meta-modeling approach reduces the number of fitness function evaluations in the particle swarm optimization process and therefore the overall computational cost can be reduced. In this paper, we propose a prediction modeling framework whose aim is to construct a bagging model to improve the prediction accuracy on noisy data. The proposed framework is tested on an artificially generated noisy dataset. The quality of final solutions obtained by the proposed framework is reasonable compared to particle swarm optimization without meta-modeling. In addition, using the proposed framework, the largest improvement in the computational time is about 42 percent.",2015
"Automatically Synthesizing Principle Solutions in Multi-Disciplinary Conceptual Design With Functional and Structural Knowledge","Synthesizing principle solutions (PSs) in various disciplines together is a common practice in multi-disciplinary conceptual design (MDCD), which generates the combination of PSs to meet the desired functional requirement. Different from structure- and function-based synthesis methods, a hybrid PS synthesis (HPSS) method through integrating functional and structural knowledge is proposed in this paper, which not only achieves the automated synthesis of multi-disciplinary PSs, but also resolves the undesired physical conflicts during the synthesis process. It comprises of united representation approach for modeling functional and structural knowledge of multi-disciplinary PSs, adapted agent-based approach for chaining the specified functional flows of PSs, and the extension conflict resolve approach for handling the partial design conflicts among selected PSs. An industrial case study on the emergency cutting off (ECO) device design was given to validate the applicability of HPSS, and it indicates that HPSS can not only get multi-disciplinary design result of ECO device, but also further resolve the design conflict (i.e., vibration impact) to optimize the functional structure of ECO device.",2015
"A Method for Visualizing the Relations Between Grammar Rules, Performance Objectives and Search Space Exploration in Grammar-Based Computational Design Synthesis","Design grammars have been successfully applied in numerous engineering disciplines, e.g. in electrical engineering, architecture and mechanical engineering. A successful application of design grammars in Computational Design Synthesis (CDS) requires a) a meaningful representation of designs and the design task at hand, b) a careful formulation of grammar rules to synthesize new designs, c) problem specific design evaluations, and d) the selection of an appropriate algorithm to guide the synthesis process. Managing these different aspects of CDS requires not only a detailed understanding of each individual part, but also of the interdependencies between them. In this paper, a new method is presented to analyze the exploration of design spaces in CDS. The method analyzes the designs generated during the synthesis process and visualizes how the design space is explored with respect to a) design characteristics, and b) objectives. The selected algorithm as well as the grammar rules can be analyzed with this approach to support the human designer in successfully understanding and applying a CDS method. The case study demonstrates how the method is used to analyze the synthesis of bicycle frames. Two algorithms are compared for this task. Results demonstrate how the method increases the understanding of the different components in CDS. The presented research can be useful for both novices to CDS to help them gain a deeper understanding of the interplay between grammar rules and guidance of the synthesis process, as well as for experts aiming to further improve their CDS application by improving parameter settings of their search algorithms, or by further refining their design grammar. Additionally, the presented method constitutes a novel approach to interactively visualize design space exploration considering not only designs objectives, but also the characteristics and interdependencies of different designs.",2015
"Automated Concept Generation Based on Function-Form Synthesis","This work hypothesizes that enhancing next generation products’ distinctiveness through function-form synthesis results in feasible design concepts for designers. A data mining driven methodology that searches for novel function and form candidates suitable to include in next generation product design is introduced in this work. The methodology employs a topic modeling algorithm to search for functional relationships between the current product design and designs from related/unrelated domains. Combining the current product design and candidate products’ form and function, which is acquired from related/unrelated domains, generates next generation design concepts. These resulting design concepts are not only distinct from their parent designs but are also likely to be implemented in the real world by containing novel functions and form features. A hybrid marine model, which is differentiated from both the current design and candidate products in related/unrelated domains, is introduced in the case study in order to demonstrate the proposed methodology’s potential to develop concepts for novel product domains. By comparing the form and function similarity values between generated design concepts, an existing hybrid marine model (Wing In Ground effect ship: WIG), and source products, this research verifies the feasibility of these design concepts.",2015
"ecoRacer: Game-Based Optimal Electric Vehicle Design and Driver Control Using Human Players","We investigate the cost and benefit of crowdsourcing solutions to an NP-complete powertrain design and control problem. Specifically, we cast this optimization problem as an online competition, and received 2391 game plays by 124 anonymous players during the first week from the launch. We compare the performance of human players against that of the Efficient Global Optimization (EGO) algorithm. We show that while only a small portion of human players can outperform the algorithm in long term, players tend to formulate good heuristics early on, from where good solutions can be extracted and used to constrain the solution space. Incorporating this constraint into the search enhances the efficiency of the algorithm, even for problem settings different from the game. These findings indicate that human computation is promising in solving comprehensible and computationally hard optimal design and control problems.",2015
"Predictive Modeling of Product Returns for Remanufacturing","As awareness of environmental issues increases, the pressures from the public and policy makers have forced OEMs to consider remanufacturing as the key product design option. In order to make the remanufacturing operations more profitable, forecasting product returns is critical with regards to the uncertainty in quantity and timing. This paper proposes a predictive model selection algorithm to deal with the uncertainty by identifying better predictive models. Unlike other major approaches in literature (distributed lag model or DLM), the predictive model selection algorithm focuses on the predictive power over new or future returns. The proposed algorithm extends the set of candidate models that should be considered: autoregressive integrated moving average or ARIMA (previous returns for future returns), DLM (previous sales for future returns), and mixed model (both previous sales and returns for future returns). The prediction performance measure from holdout samples is used to find a better model among them. The case study of reusable bottles shows that one of the candidate models, ARIMA, can predict better than the DLM depending on the relationships between returns and sales. The univariate model is widely unexplored due to the criticism that the model cannot utilize the previous sales. Another candidate model, mixed model, can provide a chance to find a better predictive model by combining the ARIMA and DLM. The case study also shows that the DLM in the predictive model selection algorithm can provide a good predictive performance when there are relatively strong and static relationships between returns and sales.",2015
